investigation,person_name,profile_file,website_url,category
Energy,Adam Rasheed,Energy/Details/Adam_Rasheed.md,/energy/Details/Adam_Rasheed,Researcher / Engineer
Energy,Al Wordsworth,Energy/Details/Al_Wordsworth.md,/energy/Details/Al_Wordsworth,Energy Inventor
Energy,Alexander Chernetsky,Energy/Details/Alexander_Chernetsky.md,/energy/Details/Alexander_Chernetsky,Energy Researcher
Energy,Alistair Beckham,Energy/Details/Alistair_Beckham.md,/energy/Details/Alistair_Beckham,Defense Scientist
Energy,Andrew Hall,Energy/Details/Andrew_Hall.md,/energy/Details/Andrew_Hall,Defense Scientist
Energy,Andrew Kazolnikov,Energy/Details/Andrew_Kazolnikov.md,/energy/Details/Andrew_Kazolnikov,Energy Inventor
Energy,Andrew Riley,Energy/Details/Andrew_Riley.md,/energy/Details/Andrew_Riley,Energy Researcher
Energy,Andrija Puharich,Energy/Details/Andrija_Puharich.md,/energy/Details/Andrija_Puharich,Energy Inventor / Physicist / Scientist
Energy,Anthony Godley,Energy/Details/Anthony_Godley.md,/energy/Details/Anthony_Godley,Defense Scientist
Energy,Arie DeGeus,Energy/Details/Arie_DeGeus.md,/energy/Details/Arie_DeGeus,Energy Inventor
Energy,Arshad Sharif,Energy/Details/Arshad_Sharif.md,/energy/Details/Arshad_Sharif,Defense Scientist
Energy,Avtar Singh Gida,Energy/Details/Avtar_Singh_Gida.md,/energy/Details/Avtar_Singh_Gida,Defense Scientist
Energy,B Stanley Pons,Energy/Details/B_Stanley_Pons.md,/energy/Details/B_Stanley_Pons,
Energy,Bill Williams,Energy/Details/Bill_Williams.md,/energy/Details/Bill_Williams,Experimenter / Suppressed
Energy,Bob Boyce,Energy/Details/Bob_Boyce.md,/energy/Details/Bob_Boyce,Energy Inventor
Energy,Boyd Bushman,Energy/Details/Boyd_Bushman.md,/energy/Details/Boyd_Bushman,Defense Scientist
Energy,Brian OLeary,Energy/Details/Brian_OLeary.md,/energy/Details/Brian_OLeary,Energy Researcher
Energy,Bruce DePalma,Energy/Details/Bruce_DePalma.md,/energy/Details/Bruce_DePalma,Energy Inventor / Physicist / Scientist
Energy,Charles Nelson Pogue,Energy/Details/Charles_Nelson_Pogue.md,/energy/Details/Charles_Nelson_Pogue,Automotive Inventor
Energy,Chris Tinsley,Energy/Details/Chris_Tinsley.md,/energy/Details/Chris_Tinsley,Energy Researcher
Energy,Dallis Hardwick,Energy/Details/Dallis_Hardwick.md,/energy/Details/Dallis_Hardwick,Energy Inventor / Defense Scientist
Energy,Daniel Dingel,Energy/Details/Daniel_Dingel.md,/energy/Details/Daniel_Dingel,Energy Inventor
Energy,David Greenhalgh,Energy/Details/David_Greenhalgh.md,/energy/Details/David_Greenhalgh,Defense Industry Manager
Energy,David Sands,Energy/Details/David_Sands.md,/energy/Details/David_Sands,Defense Scientist
Energy,David Skeels,Energy/Details/David_Skeels.md,/energy/Details/David_Skeels,Defense Scientist
Energy,Dean Warwick,Energy/Details/Dean_Warwick.md,/energy/Details/Dean_Warwick,Energy Inventor
Energy,Dimitri Petronov,Energy/Details/Dimitri_Petronov.md,/energy/Details/Dimitri_Petronov,Energy Inventor
Energy,Edwin Gray,Energy/Details/Edwin_Gray.md,/energy/Details/Edwin_Gray,Energy Inventor
Energy,Eric Wang,Energy/Details/Eric_Wang.md,/energy/Details/Eric_Wang,Engineer / Defense Scientist
Energy,Ernest Doyle,Energy/Details/Ernest_Doyle.md,/energy/Details/Ernest_Doyle,Defense Scientist
Energy,Eugene Mallove,Energy/Details/Eugene_Mallove.md,/energy/Details/Eugene_Mallove,Energy Researcher / Energy Whistleblower
Energy,Floyd Sweet,Energy/Details/Floyd_Sweet.md,/energy/Details/Floyd_Sweet,Energy Inventor
Energy,Francisco Pacheco,Energy/Details/Francisco_Pacheco.md,/energy/Details/Francisco_Pacheco,Energy Inventor
Energy,Frank Edwards,Energy/Details/Frank_Edwards.md,/energy/Details/Frank_Edwards,Journalist / Investigator
Energy,Frank Jennings,Energy/Details/Frank_Jennings.md,/energy/Details/Frank_Jennings,Defense Scientist
Energy,Frank Richardson,Energy/Details/Frank_Richardson.md,/energy/Details/Frank_Richardson,Energy Inventor
Energy,Frank Roberts,Energy/Details/Frank_Roberts.md,/energy/Details/Frank_Roberts,Energy Inventor
Energy,Fred Bell,Energy/Details/Fred_Bell.md,/energy/Details/Fred_Bell,Physicist / Energy Researcher
Energy,Frederick Hochstetter,Energy/Details/Frederick_Hochstetter.md,/energy/Details/Frederick_Hochstetter,Researcher / Debunker
Energy,Gary McKinnon,Energy/Details/Gary_McKinnon.md,/energy/Details/Gary_McKinnon,Energy Whistleblower
Energy,George Kountis,Energy/Details/George_Kountis.md,/energy/Details/George_Kountis,Defense Scientist
Energy,George Taylor Fulford,Energy/Details/George_Taylor_Fulford.md,/energy/Details/George_Taylor_Fulford,Energy Supporter / Funder
Energy,Georges Lakhovsky,Energy/Details/Georges_Lakhovsky.md,/energy/Details/Georges_Lakhovsky,Energy Inventor
Energy,Gerald Schaflander,Energy/Details/Gerald_Schaflander.md,/energy/Details/Gerald_Schaflander,Energy Inventor / Energy Business
Energy,Gianni A Dotto,Energy/Details/Gianni_A_Dotto.md,/energy/Details/Gianni_A_Dotto,Energy Inventor
Energy,Gilbert N Lewis,Energy/Details/Gilbert_N_Lewis.md,/energy/Details/Gilbert_N_Lewis,Physicist / Scientist
Energy,Henry Smolinski,Energy/Details/Henry_Smolinski.md,/energy/Details/Henry_Smolinski,Automotive Inventor
Energy,Jaime Gustitus,Energy/Details/Jaime_Gustitus.md,/energy/Details/Jaime_Gustitus,Military Officer / AFRL / Victim
Energy,James Allen,Energy/Details/James_Allen.md,/energy/Details/James_Allen,Journalist / Investigator
Energy,Jaymee Prichard,Energy/Details/Jaymee_Prichard.md,/energy/Details/Jaymee_Prichard,Defense / Civilian Employee / Victim
Energy,Jim Watson,Energy/Details/Jim_Watson.md,/energy/Details/Jim_Watson,Energy Inventor
Energy,John Andrews,Energy/Details/John_Andrews.md,/energy/Details/John_Andrews,Energy Inventor
Energy,John Brittan,Energy/Details/John_Brittan.md,/energy/Details/John_Brittan,Defense Scientist
Energy,John Christie,Energy/Details/John_Christie.md,/energy/Details/John_Christie,Energy Inventor
Energy,John Hutchison,Energy/Details/John_Hutchison.md,/energy/Details/John_Hutchison,Energy Inventor / Physicist
Energy,John Kanzius,Energy/Details/John_Kanzius.md,/energy/Details/John_Kanzius,Energy Inventor
Energy,John Mullen,Energy/Details/John_Mullen.md,/energy/Details/John_Mullen,Physicist / Scientist
Energy,John Rossi,Energy/Details/John_Rossi.md,/energy/Details/John_Rossi,Defense Scientist / Government Contractor
Energy,John Whiteman,Energy/Details/John_Whiteman.md,/energy/Details/John_Whiteman,Defense Scientist
Energy,Jonathan Moyle,Energy/Details/Jonathan_Moyle.md,/energy/Details/Jonathan_Moyle,Journalist / Investigator
Energy,Jonathan Walsh,Energy/Details/Jonathan_Walsh.md,/energy/Details/Jonathan_Walsh,Defense Scientist
Energy,Joseph Papp,Energy/Details/Joseph_Papp.md,/energy/Details/Joseph_Papp,Energy Inventor
Energy,Joseph Westley Newman,Energy/Details/Joseph_Westley_Newman.md,/energy/Details/Joseph_Westley_Newman,Energy Inventor / Patent Holder
Energy,Justin Christofleau,Energy/Details/Justin_Christofleau.md,/energy/Details/Justin_Christofleau,Energy Inventor
Energy,Karen Silkwood,Energy/Details/Karen_Silkwood.md,/energy/Details/Karen_Silkwood,Energy Whistleblower
Energy,Keith Bowden,Energy/Details/Keith_Bowden.md,/energy/Details/Keith_Bowden,Defense Scientist
Energy,Ken Rasmussen,Energy/Details/Ken_Rasmussen.md,/energy/Details/Ken_Rasmussen,Inventor / Suppressed
Energy,Ken Shoulders,Energy/Details/Ken_Shoulders.md,/energy/Details/Ken_Shoulders,Physicist / Energy Researcher
Energy,Lester Hendershot,Energy/Details/Lester_Hendershot.md,/energy/Details/Lester_Hendershot,Energy Inventor
