investigation,person_name,profile_file,website_url,category
Physics,Alcubierre Warp Drive,Physics/Details/Alcubierre_Warp_Drive.md,/physics/Details/Alcubierre_Warp_Drive,Spacetime & Gravity Manipulation / Faster-Than-Light
Physics,Arie DeGeus,Physics/Details/Arie_DeGeus.md,/physics/Details/Arie_DeGeus,
Physics,Bob Lazar,Physics/Details/Bob_Lazar.md,/physics/Details/Bob_Lazar,
Physics,Books,Physics/Details/Books.md,/physics/Details/Books,
Physics,Boyd Bushman,Physics/Details/Boyd_Bushman.md,/physics/Details/Boyd_Bushman,
Physics,Bruce DePalma,Physics/Details/Bruce_DePalma.md,/physics/Details/Bruce_DePalma,
Physics,Danny Casolaro,Physics/Details/Danny_Casolaro.md,/physics/Details/Danny_Casolaro,
Physics,David Grusch,Physics/Details/David_Grusch.md,/physics/Details/David_Grusch,
Physics,Dean Warwick,Physics/Details/Dean_Warwick.md,/physics/Details/Dean_Warwick,
Physics,Don Elkins,Physics/Details/Don_Elkins.md,/physics/Details/Don_Elkins,
Physics,Dorothy Kilgallen,Physics/Details/Dorothy_Kilgallen.md,/physics/Details/Dorothy_Kilgallen,
Physics,Edward Ruppelt,Physics/Details/Edward_Ruppelt.md,/physics/Details/Edward_Ruppelt,
Physics,Electromagnetic Propulsion,Physics/Details/Electromagnetic_Propulsion.md,/physics/Details/Electromagnetic_Propulsion,Propulsion & Movement
Physics,Eric Davis,Physics/Details/Eric_Davis.md,/physics/Details/Eric_Davis,
Physics,Eugene Chellis Glover,Physics/Details/Eugene_Chellis_Glover.md,/physics/Details/Eugene_Chellis_Glover,
Physics,Eugene Mallove,Physics/Details/Eugene_Mallove.md,/physics/Details/Eugene_Mallove,
Physics,Exotic Metamaterials,Physics/Details/Exotic_Metamaterials.md,/physics/Details/Exotic_Metamaterials,Exotic Materials & Metamaterials
Physics,Floyd Sweet,Physics/Details/Floyd_Sweet.md,/physics/Details/Floyd_Sweet,
Physics,Frank Edwards,Physics/Details/Frank_Edwards.md,/physics/Details/Frank_Edwards,
Physics,Fred Bell,Physics/Details/Fred_Bell.md,/physics/Details/Fred_Bell,
Physics,Garry Nolan,Physics/Details/Garry_Nolan.md,/physics/Details/Garry_Nolan,
Physics,Gary McKinnon,Physics/Details/Gary_McKinnon.md,/physics/Details/Gary_McKinnon,
Physics,GEC Marconi Scientists,Physics/Details/GEC_Marconi_Scientists.md,/physics/Details/GEC_Marconi_Scientists,
Physics,Gravity Manipulation,Physics/Details/Gravity_Manipulation.md,/physics/Details/Gravity_Manipulation,Propulsion & Movement / Spacetime & Gravity Manipulation
Physics,Hal Puthoff,Physics/Details/Hal_Puthoff.md,/physics/Details/Hal_Puthoff,
Physics,Holistic Doctor Deaths,Physics/Details/Holistic_Doctor_Deaths.md,/physics/Details/Holistic_Doctor_Deaths,Medical / Health Research Suppression
Physics,Interdimensional Hypothesis,Physics/Details/Interdimensional_Hypothesis.md,/physics/Details/Interdimensional_Hypothesis,Faster-Than-Light & Dimensional Physics
Physics,J Allen Hynek,Physics/Details/J_Allen_Hynek.md,/physics/Details/J_Allen_Hynek,
Physics,Jacques Vallee,Physics/Details/Jacques_Vallee.md,/physics/Details/Jacques_Vallee,
Physics,James Forrestal,Physics/Details/James_Forrestal.md,/physics/Details/James_Forrestal,
Physics,James McDonald,Physics/Details/James_McDonald.md,/physics/Details/James_McDonald,
Physics,Jason Thomas,Physics/Details/Jason_Thomas.md,/physics/Details/Jason_Thomas,
Physics,Jeffrey Bradstreet,Physics/Details/Jeffrey_Bradstreet.md,/physics/Details/Jeffrey_Bradstreet,
Physics,Jim Keith,Physics/Details/Jim_Keith.md,/physics/Details/Jim_Keith,
Physics,John Mack,Physics/Details/John_Mack.md,/physics/Details/John_Mack,
Physics,John Murphy,Physics/Details/John_Murphy.md,/physics/Details/John_Murphy,
Physics,Karla Turner,Physics/Details/Karla_Turner.md,/physics/Details/Karla_Turner,
Physics,Luis Elizondo,Physics/Details/Luis_Elizondo.md,/physics/Details/Luis_Elizondo,
Physics,Mitchell Gaynor,Physics/Details/Mitchell_Gaynor.md,/physics/Details/Mitchell_Gaynor,
Physics,Monica Jacinto Reza,Physics/Details/Monica_Jacinto_Reza.md,/physics/Details/Monica_Jacinto_Reza,
Physics,Morris Jessup,Physics/Details/Morris_Jessup.md,/physics/Details/Morris_Jessup,
Physics,Nicholas Gonzalez,Physics/Details/Nicholas_Gonzalez.md,/physics/Details/Nicholas_Gonzalez,
Physics,Nikola Tesla,Physics/Details/Nikola_Tesla.md,/physics/Details/Nikola_Tesla,
Physics,Paul Bennewitz,Physics/Details/Paul_Bennewitz.md,/physics/Details/Paul_Bennewitz,
Physics,Paul Brown,Physics/Details/Paul_Brown.md,/physics/Details/Paul_Brown,
Physics,Phil Schneider,Physics/Details/Phil_Schneider.md,/physics/Details/Phil_Schneider,
Physics,Philip Corso,Physics/Details/Philip_Corso.md,/physics/Details/Philip_Corso,
Physics,Podcasts,Physics/Details/Podcasts.md,/physics/Details/Podcasts,
Physics,Ron Johnson,Physics/Details/Ron_Johnson.md,/physics/Details/Ron_Johnson,
Physics,Ron Rummel,Physics/Details/Ron_Rummel.md,/physics/Details/Ron_Rummel,
Physics,Rory Johnson,Physics/Details/Rory_Johnson.md,/physics/Details/Rory_Johnson,
Physics,Royal Raymond Rife,Physics/Details/Royal_Raymond_Rife.md,/physics/Details/Royal_Raymond_Rife,
Physics,Ryan Graves,Physics/Details/Ryan_Graves.md,/physics/Details/Ryan_Graves,
Physics,Salvatore Pais,Physics/Details/Salvatore_Pais.md,/physics/Details/Salvatore_Pais,
Physics,Stanislaw Burzynski,Physics/Details/Stanislaw_Burzynski.md,/physics/Details/Stanislaw_Burzynski,
Physics,Stanley Meyer,Physics/Details/Stanley_Meyer.md,/physics/Details/Stanley_Meyer,
Physics,Stefan Marinov,Physics/Details/Stefan_Marinov.md,/physics/Details/Stefan_Marinov,
Physics,T Henry Moray,Physics/Details/T_Henry_Moray.md,/physics/Details/T_Henry_Moray,
Physics,Thomas Mantell,Physics/Details/Thomas_Mantell.md,/physics/Details/Thomas_Mantell,
Physics,Thomas Townsend Brown,Physics/Details/Thomas_Townsend_Brown.md,/physics/Details/Thomas_Townsend_Brown,
Physics,Timothy Cunningham,Physics/Details/Timothy_Cunningham.md,/physics/Details/Timothy_Cunningham,
Physics,Todd Sees,Physics/Details/Todd_Sees.md,/physics/Details/Todd_Sees,Civilian / Possible UAP-Related Death
Physics,Viktor Schauberger,Physics/Details/Viktor_Schauberger.md,/physics/Details/Viktor_Schauberger,
Physics,Wilbert Smith,Physics/Details/Wilbert_Smith.md,/physics/Details/Wilbert_Smith,
Physics,William Colby,Physics/Details/William_Colby.md,/physics/Details/William_Colby,
Physics,William McCasland,Physics/Details/William_McCasland.md,/physics/Details/William_McCasland,
Physics,YouTube Channels,Physics/Details/YouTube_Channels.md,/physics/Details/YouTube_Channels,
Physics,Zero Point Energy,Physics/Details/Zero_Point_Energy.md,/physics/Details/Zero_Point_Energy,Energy / Propulsion / Unified Framework
