investigation,person_name,profile_file,website_url,category
UAPs,Adam Rasheed,UAPs/Details/Adam_Rasheed.md,/uaps/Details/Adam_Rasheed,Researcher / Engineer
UAPs,Al Wordsworth,UAPs/Details/Al_Wordsworth.md,/uaps/Details/Al_Wordsworth,Energy Inventor
UAPs,Alistair Beckham,UAPs/Details/Alistair_Beckham.md,/uaps/Details/Alistair_Beckham,SDI/Defense Scientist
UAPs,Andrew Hall,UAPs/Details/Andrew_Hall.md,/uaps/Details/Andrew_Hall,SDI/Defense Scientist
UAPs,Andrew Kazolnikov,UAPs/Details/Andrew_Kazolnikov.md,/uaps/Details/Andrew_Kazolnikov,Energy Inventor
UAPs,Andrija Puharich,UAPs/Details/Andrija_Puharich.md,/uaps/Details/Andrija_Puharich,Energy Inventor / Physicist / Scientist
UAPs,Ann Livingston,UAPs/Details/Ann_Livingston.md,/uaps/Details/Ann_Livingston,UFO Researcher / MUFON Investigator
UAPs,Anthony Chavez,UAPs/Details/Anthony_Chavez.md,/uaps/Details/Anthony_Chavez,Disappeared
UAPs,Anthony Godley,UAPs/Details/Anthony_Godley.md,/uaps/Details/Anthony_Godley,SDI/Defense Scientist
UAPs,Arie DeGeus,UAPs/Details/Arie_DeGeus.md,/uaps/Details/Arie_DeGeus,Suppressed Technology Researcher
UAPs,Ashad Sharif,UAPs/Details/Ashad_Sharif.md,/uaps/Details/Ashad_Sharif,SDI/Defense Scientist
UAPs,Benito Que,UAPs/Details/Benito_Que.md,/uaps/Details/Benito_Que,Scientist / Engineer
UAPs,Bill Williams,UAPs/Details/Bill_Williams.md,/uaps/Details/Bill_Williams,Experimenter / Suppressed
UAPs,Bill Yelon,UAPs/Details/Bill_Yelon.md,/uaps/Details/Bill_Yelon,Energy Inventor
UAPs,Bob Lazar,UAPs/Details/Bob_Lazar.md,/uaps/Details/Bob_Lazar,Whistleblower / Alleged Reverse-Engineering Program Participant
UAPs,Boyd Bushman,UAPs/Details/Boyd_Bushman.md,/uaps/Details/Boyd_Bushman,Whistleblower / Defense Industry Insider
UAPs,Brian Lynch,UAPs/Details/Brian_Lynch.md,/uaps/Details/Brian_Lynch,Contactee / Psychic Research Subject
UAPs,Bruce DePalma,UAPs/Details/Bruce_DePalma.md,/uaps/Details/Bruce_DePalma,Suppressed Technology Researcher
UAPs,Charles Nelson Pogue,UAPs/Details/Charles_Nelson_Pogue.md,/uaps/Details/Charles_Nelson_Pogue,Automotive Inventor
UAPs,Chris Tinsley,UAPs/Details/Chris_Tinsley.md,/uaps/Details/Chris_Tinsley,Energy Researcher
UAPs,Coral Lorenzen,UAPs/Details/Coral_Lorenzen.md,/uaps/Details/Coral_Lorenzen,UFO/UAP Researcher
UAPs,Dallis Hardwick,UAPs/Details/Dallis_Hardwick.md,/uaps/Details/Dallis_Hardwick,Scientist / Engineer / Advanced Materials
UAPs,Damon Runyon Jr,UAPs/Details/Damon_Runyon_Jr.md,/uaps/Details/Damon_Runyon_Jr,Journalist / Investigator
UAPs,Danny Casolaro,UAPs/Details/Danny_Casolaro.md,/uaps/Details/Danny_Casolaro,Journalist / Investigator
UAPs,David Greenhalgh,UAPs/Details/David_Greenhalgh.md,/uaps/Details/David_Greenhalgh,SDI/Defense Scientist
UAPs,David Grusch,UAPs/Details/David_Grusch.md,/uaps/Details/David_Grusch,Intelligence Officer / UAP Whistleblower
UAPs,David Sands,UAPs/Details/David_Sands.md,/uaps/Details/David_Sands,SDI/Defense Scientist
UAPs,David Skeels,UAPs/Details/David_Skeels.md,/uaps/Details/David_Skeels,SDI/Defense Scientist
UAPs,Dean Stonier,UAPs/Details/Dean_Stonier.md,/uaps/Details/Dean_Stonier,UFO/UAP Researcher
UAPs,Dean Warwick,UAPs/Details/Dean_Warwick.md,/uaps/Details/Dean_Warwick,Whistleblower / Alternative Energy Researcher
UAPs,Dimitri Petronov,UAPs/Details/Dimitri_Petronov.md,/uaps/Details/Dimitri_Petronov,Energy Inventor
UAPs,Don Elkins,UAPs/Details/Don_Elkins.md,/uaps/Details/Don_Elkins,UFO Researcher / Channeling / Physicist
UAPs,Don Wiley,UAPs/Details/Don_Wiley.md,/uaps/Details/Don_Wiley,Scientist / Engineer
UAPs,Dorothy Kilgallen,UAPs/Details/Dorothy_Kilgallen.md,/uaps/Details/Dorothy_Kilgallen,Journalist / Investigator
UAPs,Dylan Borland,UAPs/Details/Dylan_Borland.md,/uaps/Details/Dylan_Borland,Air Force Veteran / UAP Whistleblower
UAPs,Edward Ruppelt,UAPs/Details/Edward_Ruppelt.md,/uaps/Details/Edward_Ruppelt,Military / Government UFO Investigator
UAPs,Eric Wang,UAPs/Details/Eric_Wang.md,/uaps/Details/Eric_Wang,Engineer / Defense Scientist
UAPs,Eugene Mallove,UAPs/Details/Eugene_Mallove.md,/uaps/Details/Eugene_Mallove,Science Writer / Alternative Energy Advocate
UAPs,Felix Moncla,UAPs/Details/Felix_Moncla.md,/uaps/Details/Felix_Moncla,Military Witness / Pilot
UAPs,Floyd Sweet,UAPs/Details/Floyd_Sweet.md,/uaps/Details/Floyd_Sweet,Suppressed Technology Researcher
UAPs,Frank Edwards,UAPs/Details/Frank_Edwards.md,/uaps/Details/Frank_Edwards,Journalist / UFO Researcher / Author
UAPs,Frank Jennings,UAPs/Details/Frank_Jennings.md,/uaps/Details/Frank_Jennings,SDI/Defense Scientist
UAPs,Frank Maiwald,UAPs/Details/Frank_Maiwald.md,/uaps/Details/Frank_Maiwald,Scientist / Engineer
UAPs,Frank Richardson,UAPs/Details/Frank_Richardson.md,/uaps/Details/Frank_Richardson,Energy Inventor
UAPs,Frank Roberts,UAPs/Details/Frank_Roberts.md,/uaps/Details/Frank_Roberts,Energy Inventor
UAPs,Frank Scully,UAPs/Details/Frank_Scully.md,/uaps/Details/Frank_Scully,Journalist / UFO Author
UAPs,Fred Bell,UAPs/Details/Fred_Bell.md,/uaps/Details/Fred_Bell,Physicist / Inventor / Claimed Intelligence Program Participant
UAPs,Frederick Hochstetter,UAPs/Details/Frederick_Hochstetter.md,/uaps/Details/Frederick_Hochstetter,Researcher / Debunker
UAPs,Frederick Valentich,UAPs/Details/Frederick_Valentich.md,/uaps/Details/Frederick_Valentich,Pilot / UFO Disappearance Case
UAPs,Gary McKinnon,UAPs/Details/Gary_McKinnon.md,/uaps/Details/Gary_McKinnon,Hacker / UFO Researcher
UAPs,George Adamski,UAPs/Details/George_Adamski.md,/uaps/Details/George_Adamski,Contactee / UFO Researcher
UAPs,George Knapp,UAPs/Details/George_Knapp.md,/uaps/Details/George_Knapp,Journalist / Investigator
UAPs,George Kountis,UAPs/Details/George_Kountis.md,/uaps/Details/George_Kountis,SDI/Defense Scientist
UAPs,Gerald Schaflander,UAPs/Details/Gerald_Schaflander.md,/uaps/Details/Gerald_Schaflander,Energy Inventor / Energy Business
UAPs,Gianni A Dotto,UAPs/Details/Gianni_A_Dotto.md,/uaps/Details/Gianni_A_Dotto,Energy Inventor
UAPs,Gloria Lee,UAPs/Details/Gloria_Lee.md,/uaps/Details/Gloria_Lee,Contactee / Experiencer
UAPs,Ivan Sanderson,UAPs/Details/Ivan_Sanderson.md,/uaps/Details/Ivan_Sanderson,Scientist / Paranormal Researcher
UAPs,J Allen Hynek,UAPs/Details/J_Allen_Hynek.md,/uaps/Details/J_Allen_Hynek,Scientist / UFO Researcher
UAPs,Jaime Gustitus,UAPs/Details/Jaime_Gustitus.md,/uaps/Details/Jaime_Gustitus,Military Officer / Victim
UAPs,James Forrestal,UAPs/Details/James_Forrestal.md,/uaps/Details/James_Forrestal,Political Figure / Military / Intelligence
UAPs,James McDonald,UAPs/Details/James_McDonald.md,/uaps/Details/James_McDonald,Scientist / UFO Researcher
UAPs,James Ryder,UAPs/Details/James_Ryder.md,/uaps/Details/James_Ryder,Government Contractor / Aerospace Executive
UAPs,Jaymee Prichard,UAPs/Details/Jaymee_Prichard.md,/uaps/Details/Jaymee_Prichard,Military/Civilian Employee / Victim
UAPs,Jim Keith,UAPs/Details/Jim_Keith.md,/uaps/Details/Jim_Keith,Conspiracy Author / Researcher
UAPs,Jim Lorenzen,UAPs/Details/Jim_Lorenzen.md,/uaps/Details/Jim_Lorenzen,UFO/UAP Researcher
UAPs,Jim Sullivan,UAPs/Details/Jim_Sullivan.md,/uaps/Details/Jim_Sullivan,Musician / Disappeared Person
UAPs,John Andrews,UAPs/Details/John_Andrews.md,/uaps/Details/John_Andrews,Energy Inventor
UAPs,John Brittan,UAPs/Details/John_Brittan.md,/uaps/Details/John_Brittan,SDI/Defense Scientist
UAPs,John Burroughs,UAPs/Details/John_Burroughs.md,/uaps/Details/John_Burroughs,Military Witness
UAPs,John Christie,UAPs/Details/John_Christie.md,/uaps/Details/John_Christie,Energy Inventor
UAPs,John F Kennedy,UAPs/Details/John_F_Kennedy.md,/uaps/Details/John_F_Kennedy,Political Figure / Head of State
UAPs,John Ford,UAPs/Details/John_Ford.md,/uaps/Details/John_Ford,UFO Investigator / Institutionalized
UAPs,John Kanzius,UAPs/Details/John_Kanzius.md,/uaps/Details/John_Kanzius,Energy Inventor
UAPs,John Mack,UAPs/Details/John_Mack.md,/uaps/Details/John_Mack,Academic Researcher / Psychiatrist
UAPs,John Murphy,UAPs/Details/John_Murphy.md,/uaps/Details/John_Murphy,Journalist / Investigator
UAPs,John Rossi,UAPs/Details/John_Rossi.md,/uaps/Details/John_Rossi,Government Official / Military Insider
UAPs,John Searl,UAPs/Details/John_Searl.md,/uaps/Details/John_Searl,Energy Inventor
UAPs,Jonathan Lovette,UAPs/Details/Jonathan_Lovette.md,/uaps/Details/Jonathan_Lovette,Military Personnel / Alleged Mutilation Victim
UAPs,Jonathan Walsh,UAPs/Details/Jonathan_Walsh.md,/uaps/Details/Jonathan_Walsh,SDI/Defense Scientist
UAPs,Joseph Westley Newman,UAPs/Details/Joseph_Westley_Newman.md,/uaps/Details/Joseph_Westley_Newman,Energy Inventor / Patent Holder
UAPs,Karla Turner,UAPs/Details/Karla_Turner.md,/uaps/Details/Karla_Turner,UFO Researcher / Abduction Researcher
UAPs,Keith Bowden,UAPs/Details/Keith_Bowden.md,/uaps/Details/Keith_Bowden,SDI/Defense Scientist
UAPs,Ken Rasmussen,UAPs/Details/Ken_Rasmussen.md,/uaps/Details/Ken_Rasmussen,Inventor / Suppressed
UAPs,Leonard Stringfield,UAPs/Details/Leonard_Stringfield.md,/uaps/Details/Leonard_Stringfield,Researcher / Former Military Intelligence
UAPs,Lester Hendershot,UAPs/Details/Lester_Hendershot.md,/uaps/Details/Lester_Hendershot,Energy Inventor
UAPs,Lou Britz,UAPs/Details/Lou_Britz.md,/uaps/Details/Lou_Britz,Energy Inventor
UAPs,Lue Elizondo,UAPs/Details/Lue_Elizondo.md,/uaps/Details/Lue_Elizondo,Intelligence / Government Whistleblower
UAPs,Mae Brussell,UAPs/Details/Mae_Brussell.md,/uaps/Details/Mae_Brussell,Researcher / Radio Broadcaster / Conspiracy Analyst
